Source,ID,OI,Name,GradientBoosting,RandomForest,AdaBoost,XGBoost,LightGBM,Actual,score,gifs,nasa_url,educational_summary
KOI,12058204,K02218.02,Kepler-373 c,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,0.626,https://detwet.com/gifs/koi/12058204.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-373_c,"A super-Earth (~1.4 Earth radii) with a ~5.5-day orbit in a two-planet system. Short periods yield crisp, repeatable TESS transits for precise radius ratios and impact parameters—keys to interior and orbital modeling."
TESS,428699140,3082.01,TOI-3082_b,CANDIDATE,CANDIDATE,CONFIRMED,CANDIDATE,CANDIDATE,CONFIRMED,0.063,https://detwet.com/gifs/tess/428699140.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3082_b,"A 2023 TESS discovery located a few hundred light-years away, likely a warm Neptune or sub-Saturn. It exemplifies how exoplanets of similar size can have vastly different densities, helping illustrate the concept of planetary composition diversity."
KOI,12058147,K02072.01,Kepler-1082 b,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,0.854,https://detwet.com/gifs/koi/12058147.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1082_b,"A hot, Earth-size/mini-super-Earth (~1.1–1.3 Earth radii) with a 1.54-day year. Frequent, shallow dips demonstrate how TESS’s box-least-squares searches recover tiny signals in noisy real-world light curves."
TESS,361343239,2977.01,TOI-2977_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.001,https://detwet.com/gifs/tess/361343239.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2977_b,"A recent TESS detection showing how mid-size planets close to their host stars can exhibit inflated radii. It’s valuable for lessons on stellar irradiation, atmospheric escape, and the physics of close-in planetary inflation."
KOI,11963206,K02820.01,Kepler-1357 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.79,https://detwet.com/gifs/koi/11963206.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1357_b,"A ~1.3 Earth-radius world orbiting every ~3 days. TESS follow-up (RVs and high-resolution imaging) on similar small planets nails down densities, linking transit depth to composition (rocky vs. volatile-rich)."
TESS,178162579,2842.01,TOI-2842_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.005,https://detwet.com/gifs/tess/178162579.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2842_b,"A 2023 TESS discovery orbiting a Sun-like star with a short period. It demonstrates how modern transit surveys continue to fill the size gap between super-Earths and mini-Neptunes, supporting studies of the 'radius valley' in exoplanet populations."
KOI,11853878,K01833.03,Kepler-968 c,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.992,https://detwet.com/gifs/koi/11853878.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-968_c,"A sub-Neptune (~1.7 Earth radii) with a 5.71-day orbit around a cool star. TESS targets many M-dwarfs where smaller stellar radii make deeper, more easily characterized transits and stronger atmospheric signals."
TESS,220076110,2796.01,TOI-2796_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0,https://detwet.com/gifs/tess/220076110.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2796_b,"A TESS detection from 2023 located within 500–1000 light-years. Likely a hot Neptune, it provides a case for understanding how stellar metallicity and temperature influence planetary formation and atmospheric composition."
KOI,11807274,K00262.01,Kepler-50 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.991,https://detwet.com/gifs/koi/11807274.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-50_b,"A ~1.75 Earth-radius planet with notable TTVs. TESS also observes TTVs in bright systems, allowing mass estimates from timing alone and giving insight into planet-planet interactions."
TESS,258920431,2567.01,TOI-2567_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.015,https://detwet.com/gifs/tess/258920431.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2567_b,"A TESS planet confirmed in 2022, representing the growing catalog of bright host stars. It serves as an example of how precise light curves from TESS support atmospheric follow-up observations with JWST and ground-based telescopes."
KOI,11764462,K01531.01,Kepler-884 b,CONFIRMED,CANDIDATE,CONFIRMED,CANDIDATE,CANDIDATE,CONFIRMED,0.41,https://detwet.com/gifs/koi/11764462.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-884_b,"A compact super-Earth (~1.23 Earth radii) on a 5.7-day orbit. Its shallow transit mirrors many TESS finds, where bright hosts yield exquisite radius precision for future atmospheric work."
